"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"793714473","793668063","6894272","","","2008-04-21 17:05:23 +0000","web","@thekyleguy not really. you might check with Sandi Kerney."
"793649540","","","","","2008-04-21 15:23:57 +0000","<a href=""http://www.twittearth.com/"" rel=""nofollow"">Twittearth</a>","trying out twittearth http://twittearth.com/ http://tinyurl.com/43j2oc"
"793371419","793368927","7570912","","","2008-04-21 04:57:53 +0000","web","@cburell doubt if you can even see this...but what about Cussing 101 or Blogfighting 101?"
"793361423","793360324","7198542","","","2008-04-21 04:31:04 +0000","web","@ddmeyer mark all as read"
"793361285","793360712","9978622","","","2008-04-21 04:30:45 +0000","web","@skydaddy how do you know? can you see all your followers?"
"793358247","793353832","739293","","","2008-04-21 04:23:14 +0000","web","@courosa is now following me.  Let me know if your test works."
"793351895","793350012","5545092","","","2008-04-21 04:06:34 +0000","web","@robwall are we back?"
"793289484","","","","","2008-04-21 01:40:40 +0000","web","Is twitter back? How will I know?"
"793226400","793104591","5545092","","","2008-04-20 23:06:40 +0000","web","@robwall No snow here...are my tweets getting through? I fear they are not."
"793216915","793209460","7032662","","","2008-04-20 22:48:44 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@bcrosby witter not working properly  http://tinyurl.com/3mvbef pass it on....you might be one of the few getting my tweets"
"793216767","793215545","6066612","","","2008-04-20 22:48:28 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@KarenJan twitter not working properly  http://tinyurl.com/3mvbef pass it on....you might be one of the few getting my tweets"
"793210809","","","","","2008-04-20 22:36:58 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Retweeting Name this tune. http://tinyurl.com/65w2jx Easy squeezy"
"793209866","","","","","2008-04-20 22:35:19 +0000","web","Is this on? Is this on? Twitter wasn't working properly yesterday. First time online today."
"793145154","","","","","2008-04-20 20:15:53 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","I'll be on the couch if anyone needs me."
"792827338","792825615","12201982","","","2008-04-20 04:44:49 +0000","web","@Mathman33 How'd you score today? I heard you had nice weather."
"792827209","792825615","12201982","","","2008-04-20 04:44:26 +0000","web","@Mathman33 It's quiet because it's not working properly"
"792815872","","","","","2008-04-20 04:09:52 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Just checking. Are my tweets posting?"
"792802850","","","","","2008-04-20 03:31:53 +0000","web","One of my students did a series of podcasts from the last century. http://breitheath.podomatic.com/"
"792800391","","","","","2008-04-20 03:24:52 +0000","<a href=""http://twittergram.com/about"" rel=""nofollow"">TwitterGram</a>","If the earlier one was a bit hard, try this one. http://tinyurl.com/65w2jx"
"792791759","792789994","9443462","","","2008-04-20 03:01:05 +0000","web","@alytapp our pastor/friend came over tonight and told us he'd fix it. Friends like that rock. I'm off the hook."
"792789971","","","","","2008-04-20 02:56:21 +0000","web","Can't believe no one could guess my tune? I guess everyone's out on the town tonight."
